lang	fam
ads	adsl
asp	adsl
bog	adsl
cds	adsl
esl	adsl
eth	adsl
gse	adsl
gus	adsl
hsl	adsl
lbs	adsl
mzc	adsl
mzy	adsl
nbs	adsl
nsi	adsl
sfs	adsl
sgx	adsl
tse	adsl
tza	adsl
ugn	adsl
xki	adsl
xms	adsl
zib	adsl
zsl	adsl
aal	afas
aao	afas
aar	afas
aas	afas
abh	afas
abv	afas
acm	afas
acq	afas
acw	afas
acx	afas
acy	afas
adf	afas
aeb	afas
aec	afas
afb	afas
agj	afas
ahg	afas
aii	afas
aij	afas
aiz	afas
ajp	afas
ajt	afas
aju	afas
ajw	afas
alw	afas
amf	afas
amh	afas
amw	afas
anc	afas
ank	afas
apc	afas
apd	afas
arb	afas
arq	afas
ars	afas
arv	afas
ary	afas
arz	afas
auj	afas
auo	afas
auz	afas
avl	afas
awn	afas
ayh	afas
ayl	afas
ayn	afas
ayp	afas
bbt	afas
bcq	afas
bcw	afas
bcy	afas
bde	afas
bdm	afas
bdn	afas
bds	afas
bej	afas
bhm	afas
bhn	afas
bhs	afas
bid	afas
bjf	afas
bji	afas
bnl	afas
bob	afas
bol	afas
bso	afas
bst	afas
bsw	afas
bta	afas
btf	afas
bux	afas
bva	afas
bvf	afas
bvh	afas
bvw	afas
bwo	afas
bwr	afas
bxe	afas
bxq	afas
byn	afas
cie	afas
ckl	afas
ckq	afas
cky	afas
cla	afas
cld	afas
cnu	afas
cop	afas
cra	afas
cuv	afas
daa	afas
dal	afas
dbb	afas
dbp	afas
dbq	afas
dbr	afas
dgh	afas
dim	afas
dkx	afas
dme	afas
dot	afas
dox	afas
doz	afas
drs	afas
dsh	afas
dwa	afas
dzd	afas
elo	afas
fie	afas
fli	afas
gab	afas
gax	afas
gaz	afas
gde	afas
gdf	afas
gdk	afas
gdl	afas
gdq	afas
gdu	afas
gea	afas
gek	afas
gew	afas
gex	afas
gez	afas
gft	afas
ggh	afas
gha	afas
gho	afas
gid	afas
gis	afas
giz	afas
gji	afas
glo	afas
glw	afas
gmo	afas
gnc	afas
gnd	afas
gou	afas
gow	afas
gqa	afas
grd	afas
grr	afas
gru	afas
gwd	afas
gwn	afas
gza	afas
hae	afas
har	afas
hau	afas
hbb	afas
hbo	afas
hdy	afas
heb	afas
hed	afas
hia	afas
hig	afas
hna	afas
hod	afas
hoh	afas
hoz	afas
hrt	afas
hss	afas
huy	afas
hwo	afas
hya	afas
ior	afas
irk	afas
jaf	afas
jbe	afas
jbn	afas
jeu	afas
jia	afas
jie	afas
jii	afas
jim	afas
jmb	afas
jmi	afas
jnj	afas
jrt	afas
juu	afas
jye	afas
kab	afas
kai	afas
kbr	afas
kbz	afas
kcs	afas
kcx	afas
ker	afas
kil	afas
kkr	afas
kks	afas
kna	afas
kof	afas
kot	afas
kpa	afas
kqd	afas
kqp	afas
kqx	afas
kqy	afas
kso	afas
ksq	afas
ktb	afas
ktc	afas
kuh	afas
